event_id,customer_id,event_ts,event_type,reward_id,store_id
900855,46,2025-09-03 12:42:00,signup,,1005
903973,199,2025-09-06 09:41:00,signup,,1007
904573,233,2025-09-07 14:31:00,signup,,1004
902964,144,2025-09-08 12:15:00,signup,,1012
902978,144,2025-09-08 15:01:00,earn,,1012
902676,130,2025-09-09 11:46:00,signup,,1006
901544,79,2025-09-09 12:36:00,signup,,1009
902977,144,2025-09-09 12:46:00,earn,,1012
902970,144,2025-09-10 07:14:00,earn,,1012
904384,221,2025-09-10 08:57:00,signup,,1006
902702,130,2025-09-10 18:38:00,earn,,1006
902711,130,2025-09-11 07:38:00,redeem,3,1006
901195,63,2025-09-12 14:17:00,signup,,1008
904412,221,2025-09-14 07:02:00,earn,,1006
903235,158,2025-09-14 08:39:00,signup,,1001
903256,158,2025-09-14 13:58:00,earn,,1001
900389,22,2025-09-16 07:22:00,signup,,1005
904584,233,2025-09-16 09:40:00,earn,,1004
903238,158,2025-09-16 13:46:00,earn,,1001
904605,233,2025-09-16 16:24:00,earn,,1004
902403,119,2025-09-16 16:45:00,signup,,1005
901202,63,2025-09-16 17:44:00,earn,,1008
903265,158,2025-09-17 08:02:00,redeem,5,1001
903451,170,2025-09-17 17:19:00,signup,,1002
902989,144,2025-09-18 07:04:00,earn,,1012
902684,130,2025-09-18 08:41:00,earn,,1006
904419,221,2025-09-18 15:09:00,earn,,1006
904420,221,2025-09-18 15:39:00,redeem,6,1006
902707,130,2025-09-19 10:14:00,redeem,2,1006
903263,158,2025-09-19 10:22:00,redeem,6,1001
902703,130,2025-09-19 10:46:00,earn,,1006
900407,22,2025-09-19 11:39:00,earn,,1005
900416,22,2025-09-20 14:06:00,redeem,4,1005
903992,199,2025-09-21 10:24:00,earn,,1007
902981,144,2025-09-21 16:11:00,earn,,1012
904387,221,2025-09-21 18:22:00,earn,,1006
902709,130,2025-09-21 18:26:00,redeem,4,1006
902705,130,2025-09-21 18:51:00,redeem,6,1006
901338,69,2025-09-22 12:27:00,signup,,1002
902439,119,2025-09-22 14:37:00,earn,,1005
904385,221,2025-09-23 12:32:00,earn,,1006
900201,12,2025-09-24 11:55:00,signup,,1006
903245,158,2025-09-24 14:40:00,earn,,1001
904981,253,2025-09-25 15:45:00,signup,,1001
903986,199,2025-09-29 08:26:00,earn,,1007
